locus_id,contig_id,start,end,strand,locus_tag,gene,product,length_aa,role_predicted,role_curated,evidence,include_in_figure
BGC_02,S1A_contig_001,177519,178173,+,PROKKA_00174,,CAAX amino terminal protease self- immunity,217,immunity,,,
BGC_02,S1A_contig_001,178796,180050,+,PROKKA_00175,opuCA_1,Carnitine transport ATP-binding protein OpuCA,417,other,,,
BGC_02,S1A_contig_001,180052,180682,+,PROKKA_00176,opuCB,Carnitine transport permease protein OpuCB,209,other,,,
BGC_02,S1A_contig_001,180693,181623,+,PROKKA_00177,opuCC,Glycine betaine/carnitine/choline-binding protein OpuCC precursor,309,other,,,
BGC_02,S1A_contig_001,181622,182285,+,PROKKA_00178,opuCD,Carnitine transport permease protein OpuCD,220,other,,,
BGC_02,S1A_contig_001,182498,182759,+,PROKKA_00179,,hypothetical protein,86,unknown,,,
BGC_02,S1A_contig_001,183009,183612,+,PROKKA_00180,bm3R1_1,HTH-type transcriptional repressor Bm3R1,200,other,,,
BGC_03,S1A_contig_001,189312,190905,-,PROKKA_00184,msbA_1,Lipid A export ATP-binding/permease protein MsbA,530,other,,,
BGC_03,S1A_contig_001,190973,191873,+,PROKKA_00185,,Helix-turn-helix domain protein,299,other,,,
BGC_03,S1A_contig_001,192061,192382,-,PROKKA_00186,,hypothetical protein,106,unknown,,,
BGC_03,S1A_contig_001,192446,192800,-,PROKKA_00187,,hypothetical protein,117,unknown,,,
BGC_03,S1A_contig_001,193076,193769,-,PROKKA_00188,ydfH_1,putative HTH-type transcriptional regulator YdfH,230,regulator,,,
BGC_03,S1A_contig_001,194166,194817,+,PROKKA_00189,kdgA_1,KHG/KDPG aldolase,216,other,,,
BGC_03,S1A_contig_001,195332,196037,+,PROKKA_00190,,CAAX amino terminal protease self- immunity,234,immunity,,,
BGC_03,S1A_contig_001,196150,196264,-,PROKKA_00191,,hypothetical protein,37,unknown,,,
BGC_03,S1A_contig_001,196363,196579,+,PROKKA_00192,,hypothetical protein,71,unknown,,,
BGC_03,S1A_contig_001,197012,197801,+,PROKKA_00193,,CAAX amino terminal protease self- immunity,262,immunity,,,
BGC_03,S1A_contig_001,198152,198368,+,PROKKA_00194,,hypothetical protein,71,unknown,,,
BGC_03,S1A_contig_001,198720,199011,+,PROKKA_00195,,hypothetical protein,96,unknown,,,
BGC_03,S1A_contig_001,199248,199578,-,PROKKA_00196,,Branched-chain amino acid transport protein (AzlD),109,other,,,
BGC_03,S1A_contig_001,199564,200275,-,PROKKA_00197,ygaZ,Inner membrane protein YgaZ,236,other,,,
BGC_03,S1A_contig_001,200625,200835,+,PROKKA_00198,,hypothetical protein,69,unknown,,,
BGC_03,S1A_contig_001,200855,201062,+,PROKKA_00199,,hypothetical protein,68,unknown,,,
BGC_03,S1A_contig_001,201030,202770,+,PROKKA_00200,,hypothetical protein,579,unknown,,,
BGC_04,S1A_contig_001,221020,223594,+,PROKKA_00221,,FtsX-like permease family protein,857,other,,,
BGC_04,S1A_contig_001,223797,225033,+,PROKKA_00222,,N-acetylmuramoyl-L-alanine amidase domain-containing protein precursor,411,other,,,
BGC_04,S1A_contig_001,225521,225701,+,PROKKA_00223,,hypothetical protein,59,unknown,,,
BGC_04,S1A_contig_001,225751,225934,+,PROKKA_00224,,hypothetical protein,60,unknown,,,
BGC_04,S1A_contig_001,226013,226871,+,PROKKA_00225,,CAAX amino terminal protease self- immunity,285,immunity,,,
BGC_04,S1A_contig_001,227149,227452,+,PROKKA_00226,,hypothetical protein,100,unknown,,,
BGC_04,S1A_contig_001,228456,229050,+,PROKKA_00227,,hypothetical protein,197,unknown,,,
BGC_04,S1A_contig_001,229122,229347,-,PROKKA_00228,,hypothetical protein,74,unknown,,,
BGC_04,S1A_contig_001,229343,230363,-,PROKKA_00229,cydB_1,Cytochrome bd-I ubiquinol oxidase subunit 2,339,other,,,
BGC_04,S1A_contig_001,230355,231834,-,PROKKA_00230,appC,Cytochrome bd-II ubiquinol oxidase subunit 1,492,other,,,
BGC_05,S1A_contig_001,470449,470929,+,PROKKA_00457,fruB,Multiphosphoryl transfer protein,159,other,,,
BGC_05,S1A_contig_001,471041,472379,+,PROKKA_00458,gatC_2,Galactitol permease IIC component,445,other,,,
BGC_05,S1A_contig_001,472455,472758,+,PROKKA_00459,gatB_2,Galactitol-specific phosphotransferase enzyme IIB component,100,other,,,
BGC_05,S1A_contig_001,472757,473621,+,PROKKA_00460,kbaY,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY",287,other,,,
BGC_05,S1A_contig_001,473654,474347,+,PROKKA_00461,,triosephosphate isomerase,230,other,,,
BGC_05,S1A_contig_001,474343,474865,+,PROKKA_00462,,hypothetical protein,173,unknown,,,
BGC_05,S1A_contig_001,475813,476068,+,PROKKA_00463,,Bacteriocin class II with double-glycine leader peptide,84,precursor,,,
BGC_05,S1A_contig_001,476072,476273,+,PROKKA_00464,,hypothetical protein,66,unknown,,,
BGC_05,S1A_contig_001,476788,477274,+,PROKKA_00465,crr,Glucose-specific phosphotransferase enzyme IIA component,161,other,,,
BGC_05,S1A_contig_001,477347,478097,+,PROKKA_00466,glvR_1,HTH-type transcriptional regulator GlvR,249,regulator,,,
BGC_05,S1A_contig_001,478241,479729,-,PROKKA_00467,acpA,Capsule synthesis positive regulator AcpA,495,other,,,
BGC_05,S1A_contig_001,479884,480397,+,PROKKA_00468,,hypothetical protein,170,unknown,,,
BGC_05,S1A_contig_001,480439,481066,+,PROKKA_00469,,hypothetical protein,208,unknown,,,
BGC_06,S1A_contig_001,542203,543208,+,PROKKA_00522,gpr,L-glyceraldehyde 3-phosphate reductase,334,other,,,
BGC_06,S1A_contig_001,543271,545800,-,PROKKA_00523,uvrA_1,UvrABC system protein A,842,other,,,
BGC_06,S1A_contig_001,546012,546429,-,PROKKA_00524,,MarR family protein,138,other,,,
BGC_06,S1A_contig_001,546556,547231,+,PROKKA_00525,,putative hydrolase,224,other,,,
BGC_06,S1A_contig_001,547754,548399,+,PROKKA_00527,,CAAX amino terminal protease self- immunity,214,immunity,,,
BGC_06,S1A_contig_001,548834,549806,+,PROKKA_00528,,potassium-tellurite ethidium and proflavin transporter,323,other,,,
BGC_06,S1A_contig_001,549830,550664,-,PROKKA_00529,cysL,HTH-type transcriptional regulator CysL,277,regulator,,,
BGC_06,S1A_contig_001,550798,553087,-,PROKKA_00530,helD_1,Helicase IV,762,other,,,
BGC_06,S1A_contig_001,553244,553484,+,PROKKA_00531,,hypothetical protein,79,unknown,,,
BGC_07,S1A_contig_003,95118,97071,-,PROKKA_01023,yheS_3,putative ABC transporter ATP-binding protein YheS,650,other,,,
BGC_07,S1A_contig_003,97288,97942,+,PROKKA_01024,rex_1,Redox-sensing transcriptional repressor Rex,217,other,,,
BGC_07,S1A_contig_003,98083,98449,+,PROKKA_01025,ytrA_2,HTH-type transcriptional repressor YtrA,121,other,,,
BGC_07,S1A_contig_003,98445,99333,+,PROKKA_01026,ytrB_2,ABC transporter ATP-binding protein YtrB,295,other,,,
BGC_07,S1A_contig_003,99333,100362,+,PROKKA_01027,,ABC-2 family transporter protein,342,other,,,
BGC_07,S1A_contig_003,100423,101482,-,PROKKA_01028,brpA_2,Biofilm regulatory protein A precursor,352,other,,,
BGC_07,S1A_contig_003,101562,102207,-,PROKKA_01029,,CAAX amino terminal protease self- immunity,214,immunity,,,
BGC_07,S1A_contig_003,102358,102640,+,PROKKA_01030,groS,10 kDa chaperonin,93,other,,,
BGC_07,S1A_contig_003,102676,104311,+,PROKKA_01031,groL,60 kDa chaperonin,544,other,,,
BGC_07,S1A_contig_003,104927,105272,+,PROKKA_01032,,hypothetical protein,114,unknown,,,
BGC_07,S1A_contig_003,105501,107331,+,PROKKA_01033,plaP,Low-affinity putrescine importer PlaP,609,other,,,
BGC_08,S1A_contig_008,20277,21474,-,PROKKA_01959,,hypothetical protein,398,unknown,,,
BGC_08,S1A_contig_008,21682,22738,+,PROKKA_01960,,hypothetical protein,351,unknown,,,
BGC_08,S1A_contig_008,22988,23618,+,PROKKA_01961,immR_1,HTH-type transcriptional regulator ImmR,209,regulator,,,
BGC_08,S1A_contig_008,23753,24083,+,PROKKA_01962,,lineage-specific thermal regulator protein,109,other,,,
BGC_08,S1A_contig_008,24079,24868,+,PROKKA_01963,,hypothetical protein,262,unknown,,,
BGC_08,S1A_contig_008,24920,25709,+,PROKKA_01964,,hypothetical protein,262,unknown,,,
BGC_08,S1A_contig_008,25753,26032,-,PROKKA_01965,,Enterocin A Immunity,92,immunity,,,
BGC_08,S1A_contig_008,26055,26340,-,PROKKA_01966,,Enterocin A Immunity,94,immunity,,,
BGC_08,S1A_contig_008,26533,26830,-,PROKKA_01967,,Enterocin A Immunity,98,immunity,,,
BGC_08,S1A_contig_008,26931,28287,-,PROKKA_01968,,hypothetical protein,451,unknown,,,
BGC_08,S1A_contig_008,28592,28853,-,PROKKA_01969,,hypothetical protein,86,unknown,,,
BGC_08,S1A_contig_008,28976,29288,-,PROKKA_01970,,hypothetical protein,103,unknown,,,
BGC_08,S1A_contig_008,29500,30880,-,PROKKA_01971,lcnD_2,Lactococcin A secretion protein LcnD,459,transport,,,
BGC_08,S1A_contig_008,30890,33083,-,PROKKA_01972,lagD_1,Lactococcin-G-processing and transport ATP-binding protein LagD,730,transport,,,
BGC_08,S1A_contig_008,33548,33689,-,PROKKA_01973,,hypothetical protein,46,unknown,,,
BGC_08,S1A_contig_008,33879,35178,+,PROKKA_01974,,sensory histidine kinase DcuS,432,regulator,,,
BGC_08,S1A_contig_008,35182,35989,+,PROKKA_01975,agrA,Accessory gene regulator protein A,268,regulator,,,
BGC_08,S1A_contig_008,36350,36548,-,PROKKA_01976,,hypothetical protein,65,unknown,,,
BGC_08,S1A_contig_008,37093,37333,+,PROKKA_01977,,hypothetical protein,79,unknown,,,
BGC_08,S1A_contig_008,37592,37775,-,PROKKA_01978,,hypothetical protein,60,unknown,,,
BGC_08,S1A_contig_008,37800,37989,-,PROKKA_01979,,hypothetical protein,62,unknown,,,
BGC_08,S1A_contig_008,38310,38535,+,PROKKA_01980,,hypothetical protein,74,unknown,,,
BGC_08,S1A_contig_008,38566,38737,-,PROKKA_01981,,hypothetical protein,56,unknown,,,
BGC_08,S1A_contig_008,39335,40148,-,PROKKA_01982,,CAAX amino terminal protease self- immunity,270,immunity,,,
BGC_08,S1A_contig_008,40432,40591,-,PROKKA_01983,,hypothetical protein,52,unknown,,,
BGC_08,S1A_contig_008,40706,41039,-,PROKKA_01984,,hypothetical protein,110,unknown,,,
BGC_08,S1A_contig_008,41290,41482,-,PROKKA_01985,,hypothetical protein,63,unknown,,,
BGC_08,S1A_contig_008,41794,42130,-,PROKKA_01986,,Putative carnobacteriocin-B2 immunity protein,111,immunity,,,
BGC_08,S1A_contig_008,42248,42845,-,PROKKA_01987,lacA_2,Galactoside O-acetyltransferase,198,other,,,
BGC_08,S1A_contig_008,43115,43424,-,PROKKA_01988,,hypothetical protein,102,unknown,,,
BGC_08,S1A_contig_008,43559,43775,-,PROKKA_01989,,Bacteriocin class II with double-glycine leader peptide,71,precursor,,,
BGC_08,S1A_contig_008,43771,44005,-,PROKKA_01990,,Bacteriocin class II with double-glycine leader peptide,77,precursor,,,
BGC_08,S1A_contig_008,44238,45192,-,PROKKA_01991,ydhF_2,Oxidoreductase YdhF,317,other,,,
BGC_08,S1A_contig_008,45396,46131,+,PROKKA_01992,,putative oxidoreductase,244,other,,,
BGC_08,S1A_contig_008,46156,47320,+,PROKKA_01993,,NADH oxidase,387,other,,,
BGC_08,S1A_contig_008,47495,48872,-,PROKKA_01994,fumC,Fumarate hydratase class II,458,other,,,
BGC_08,S1A_contig_008,49004,49763,-,PROKKA_01995,,hypothetical protein,252,unknown,,,
