contig_id,feature_type,start,end,strand,length_bp,locus_tag,gene,product,protein_id,ec_number,db_xref,inference,cumulative_start,cumulative_end
S1A_contig_001,CDS,28010,29966,-,1956,PROKKA_00027,iolD,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase",BS:PROKKA_00027,3.7.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P42415,28010,29966
S1A_contig_001,CDS,29962,30943,-,981,PROKKA_00028,iolC,5-dehydro-2-deoxygluconokinase,BS:PROKKA_00028,2.7.1.92,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q9KAG8,29962,30943
S1A_contig_001,CDS,30979,31795,-,816,PROKKA_00029,iolB,5-deoxy-glucuronate isomerase,BS:PROKKA_00029,5.3.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P42413,30979,31795
S1A_contig_001,CDS,31839,33318,-,1479,PROKKA_00030,iolA,Methylmalonate semialdehyde dehydrogenase [acylating],BS:PROKKA_00030,1.2.1.27,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P42412,31839,33318
S1A_contig_001,CDS,33394,34885,-,1491,PROKKA_00031,iolT_1,Major myo-inositol transporter IolT,BS:PROKKA_00031,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O34718,33394,34885
S1A_contig_001,CDS,35428,36235,+,807,PROKKA_00032,srlR_1,Glucitol operon repressor,BS:PROKKA_00032,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P15082,35428,36235
S1A_contig_001,CDS,36421,37282,-,861,PROKKA_00033,yvgN,Glyoxal reductase,BS:PROKKA_00033,1.1.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O32210,36421,37282
S1A_contig_001,CDS,37478,38231,-,753,PROKKA_00034,,Aspartate racemase,BS:PROKKA_00034,5.1.1.13,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:H8L901,37478,38231
S1A_contig_001,CDS,38236,39790,-,1554,PROKKA_00035,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase,BS:PROKKA_00035,6.3.2.7,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q9A196,38236,39790
S1A_contig_001,CDS,39931,40399,-,468,PROKKA_00036,greA_1,Transcription elongation factor GreA,BS:PROKKA_00036,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P80240,39931,40399
S1A_contig_001,CDS,40530,41841,-,1311,PROKKA_00037,dacA,D-alanyl-D-alanine carboxypeptidase DacA precursor,BS:PROKKA_00037,3.4.16.4,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P08750,40530,41841
S1A_contig_001,CDS,41837,43028,-,1191,PROKKA_00038,walK,Sensor protein kinase WalK,BS:PROKKA_00038,2.7.13.3,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q7A8E0,41837,43028
S1A_contig_001,CDS,43033,43720,-,687,PROKKA_00039,srrA_1,Transcriptional regulatory protein SrrA,BS:PROKKA_00039,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q9L524,43033,43720
S1A_contig_001,CDS,43874,44555,+,681,PROKKA_00040,,hypothetical protein,BS:PROKKA_00040,,,ab initio prediction:Prodigal:2.6,43874,44555
S1A_contig_001,CDS,44636,46124,-,1488,PROKKA_00041,guaB,Inosine-5'-monophosphate dehydrogenase,BS:PROKKA_00041,1.1.1.205,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0C0H6,44636,46124
S1A_contig_001,CDS,46500,47322,-,822,PROKKA_00042,,hypothetical protein,BS:PROKKA_00042,,,ab initio prediction:Prodigal:2.6,46500,47322
S1A_contig_001,CDS,47353,48376,-,1023,PROKKA_00043,ychF,Ribosome-binding ATPase YchF,BS:PROKKA_00043,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P44681,47353,48376
S1A_contig_001,CDS,48491,48674,-,183,PROKKA_00044,,hypothetical protein,BS:PROKKA_00044,,,ab initio prediction:Prodigal:2.6,48491,48674
S1A_contig_001,CDS,48838,49711,-,873,PROKKA_00045,spo0C,Chromosome-partitioning protein Spo0J,BS:PROKKA_00045,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q72H91,48838,49711
S1A_contig_001,CDS,49700,50468,-,768,PROKKA_00046,soj_1,Sporulation initiation inhibitor protein Soj,BS:PROKKA_00046,3.6.-.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37522,49700,50468
S1A_contig_001,CDS,50477,51308,-,831,PROKKA_00047,noc,Nucleoid occlusion protein,BS:PROKKA_00047,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37524,50477,51308
S1A_contig_001,CDS,51311,52043,-,732,PROKKA_00048,rsmG,Ribosomal RNA small subunit methyltransferase G,BS:PROKKA_00048,2.1.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P64239,51311,52043
S1A_contig_001,CDS,52354,52735,+,381,PROKKA_00049,,hypothetical protein,BS:PROKKA_00049,,,ab initio prediction:Prodigal:2.6,52354,52735
S1A_contig_001,CDS,52867,53539,+,672,PROKKA_00050,,cobyric acid synthase,BS:PROKKA_00050,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK00784,52867,53539
S1A_contig_001,CDS,53618,54239,-,621,PROKKA_00051,,prephenate dehydrogenase,BS:PROKKA_00051,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK08655,53618,54239
S1A_contig_001,CDS,54386,55034,-,648,PROKKA_00052,pcp,Pyrrolidone-carboxylate peptidase,BS:PROKKA_00052,3.4.19.3,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q5XDD4,54386,55034
S1A_contig_001,CDS,55049,55964,-,915,PROKKA_00053,,hypothetical protein,BS:PROKKA_00053,,,ab initio prediction:Prodigal:2.6,55049,55964
S1A_contig_001,CDS,55966,56644,-,678,PROKKA_00054,,hypothetical protein,BS:PROKKA_00054,,,ab initio prediction:Prodigal:2.6,55966,56644
S1A_contig_001,CDS,56951,57377,-,426,PROKKA_00055,,Alkaline shock protein 23,BS:PROKKA_00055,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0A0P8,56951,57377
S1A_contig_001,CDS,57411,57825,-,414,PROKKA_00056,,Alkaline shock protein 23,BS:PROKKA_00056,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0A0P8,57411,57825
S1A_contig_001,CDS,57833,58031,-,198,PROKKA_00057,,hypothetical protein,BS:PROKKA_00057,,,ab initio prediction:Prodigal:2.6,57833,58031
S1A_contig_001,CDS,58133,58673,-,540,PROKKA_00058,,hypothetical protein,BS:PROKKA_00058,,,ab initio prediction:Prodigal:2.6,58133,58673
S1A_contig_001,CDS,58686,58944,-,258,PROKKA_00059,,Transglycosylase associated protein,BS:PROKKA_00059,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF04226.7,58686,58944
S1A_contig_001,CDS,59176,59578,-,402,PROKKA_00060,,Pyridoxamine 5'-phosphate oxidase,BS:PROKKA_00060,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF01243.14,59176,59578
S1A_contig_001,CDS,60101,61064,+,963,PROKKA_00061,,Putative 2-hydroxyacid dehydrogenase,BS:PROKKA_00061,1.1.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q99RW8,60101,61064
S1A_contig_001,CDS,61163,61358,-,195,PROKKA_00062,,hypothetical protein,BS:PROKKA_00062,,,ab initio prediction:Prodigal:2.6,61163,61358
S1A_contig_001,CDS,61354,61597,-,243,PROKKA_00063,,hypothetical protein,BS:PROKKA_00063,,,ab initio prediction:Prodigal:2.6,61354,61597
S1A_contig_001,CDS,61644,62112,-,468,PROKKA_00064,,Flavodoxin,BS:PROKKA_00064,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q01095,61644,62112
S1A_contig_001,CDS,62279,62585,-,306,PROKKA_00065,,hypothetical protein,BS:PROKKA_00065,,,ab initio prediction:Prodigal:2.6,62279,62585
S1A_contig_001,CDS,62741,63248,+,507,PROKKA_00066,,hypothetical protein,BS:PROKKA_00066,,,ab initio prediction:Prodigal:2.6,62741,63248
S1A_contig_001,CDS,63496,63703,+,207,PROKKA_00067,,hypothetical protein,BS:PROKKA_00067,,,ab initio prediction:Prodigal:2.6,63496,63703
S1A_contig_001,CDS,63790,64165,-,375,PROKKA_00068,,hypothetical protein,BS:PROKKA_00068,,,ab initio prediction:Prodigal:2.6,63790,64165
S1A_contig_001,CDS,64164,65007,-,843,PROKKA_00069,,hypothetical protein,BS:PROKKA_00069,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK10621,64164,65007
S1A_contig_001,CDS,65131,66445,-,1314,PROKKA_00070,,hypothetical protein,BS:PROKKA_00070,,,ab initio prediction:Prodigal:2.6,65131,66445
S1A_contig_001,CDS,66630,67263,-,633,PROKKA_00071,,hypothetical protein,BS:PROKKA_00071,,,ab initio prediction:Prodigal:2.6,66630,67263
S1A_contig_001,CDS,67273,68635,-,1362,PROKKA_00072,nox_1,NADH oxidase,BS:PROKKA_00072,1.6.99.3,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37061,67273,68635
S1A_contig_001,CDS,68780,70622,+,1842,PROKKA_00073,,hypothetical protein,BS:PROKKA_00073,,,ab initio prediction:Prodigal:2.6,68780,70622
S1A_contig_001,CDS,71088,71982,-,894,PROKKA_00074,,Helix-turn-helix domain protein,BS:PROKKA_00074,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF12844.1,71088,71982
S1A_contig_001,CDS,72096,73677,+,1581,PROKKA_00075,,Putative multidrug export ATP-binding/permease protein,BS:PROKKA_00075,3.6.3.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q99T13,72096,73677
S1A_contig_001,CDS,73896,75033,-,1137,PROKKA_00076,,hypothetical protein,BS:PROKKA_00076,,,ab initio prediction:Prodigal:2.6,73896,75033
S1A_contig_001,CDS,75189,75657,-,468,PROKKA_00077,,NUDIX domain protein,BS:PROKKA_00077,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF00293.1,75189,75657
S1A_contig_001,CDS,75705,76182,-,477,PROKKA_00078,,hypothetical protein,BS:PROKKA_00078,,,ab initio prediction:Prodigal:2.6,75705,76182
S1A_contig_001,CDS,76178,76853,-,675,PROKKA_00079,yxlF_1,putative ABC transporter ATP-binding protein YxlF,BS:PROKKA_00079,3.6.3.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P94374,76178,76853
S1A_contig_001,CDS,76833,77568,-,735,PROKKA_00080,,hypothetical protein,BS:PROKKA_00080,,,ab initio prediction:Prodigal:2.6,76833,77568
S1A_contig_001,CDS,77573,78278,-,705,PROKKA_00081,,hypothetical protein,BS:PROKKA_00081,,,ab initio prediction:Prodigal:2.6,77573,78278
S1A_contig_001,CDS,78281,79070,-,789,PROKKA_00082,,hypothetical protein,BS:PROKKA_00082,,,ab initio prediction:Prodigal:2.6,78281,79070
S1A_contig_001,CDS,79472,81098,-,1626,PROKKA_00083,dppE_1,Dipeptide-binding protein DppE precursor,BS:PROKKA_00083,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P26906,79472,81098
S1A_contig_001,CDS,81342,83724,-,2382,PROKKA_00084,xpkA_1,Xylulose-5-phosphate phosphoketolase,BS:PROKKA_00084,4.1.2.9,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q937F6,81342,83724
S1A_contig_001,CDS,83983,84130,+,147,PROKKA_00085,,hypothetical protein,BS:PROKKA_00085,,,ab initio prediction:Prodigal:2.6,83983,84130
S1A_contig_001,CDS,84397,85846,+,1449,PROKKA_00086,bmr3_1,Multidrug resistance protein 3,BS:PROKKA_00086,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P96712,84397,85846
S1A_contig_001,CDS,86045,86615,+,570,PROKKA_00087,,hypothetical protein,BS:PROKKA_00087,,,ab initio prediction:Prodigal:2.6,86045,86615
S1A_contig_001,CDS,86621,89567,+,2946,PROKKA_00088,smc_1,Chromosome partition protein Smc,BS:PROKKA_00088,,,ab initio prediction:Prodigal:2.6;protein motif:HAMAP:MF_01894,86621,89567
S1A_contig_001,CDS,89617,89914,-,297,PROKKA_00089,,hypothetical protein,BS:PROKKA_00089,,,ab initio prediction:Prodigal:2.6,89617,89914
S1A_contig_001,CDS,89968,90697,-,729,PROKKA_00090,pdg_1,Ultraviolet N-glycosylase/AP lyase,BS:PROKKA_00090,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P46303,89968,90697
S1A_contig_001,CDS,90912,91737,+,825,PROKKA_00091,pphA,Serine/threonine-protein phosphatase 1,BS:PROKKA_00091,3.1.3.16,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q8ZNY9,90912,91737
S1A_contig_001,CDS,91837,93028,-,1191,PROKKA_00092,ackA_1,Acetate kinase,BS:PROKKA_00092,2.7.2.1,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37877,91837,93028
S1A_contig_001,CDS,93085,94432,-,1347,PROKKA_00093,rarA_1,Replication-associated recombination protein A,BS:PROKKA_00093,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0AAZ4,93085,94432
S1A_contig_001,CDS,94612,94942,+,330,PROKKA_00094,,hypothetical protein,BS:PROKKA_00094,,,ab initio prediction:Prodigal:2.6,94612,94942
S1A_contig_001,CDS,95014,96001,-,987,PROKKA_00095,,hypothetical protein,BS:PROKKA_00095,,,ab initio prediction:Prodigal:2.6,95014,96001
S1A_contig_001,CDS,96141,97602,-,1461,PROKKA_00096,,Mga helix-turn-helix domain protein,BS:PROKKA_00096,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF05043.7,96141,97602
S1A_contig_001,CDS,97598,97832,-,234,PROKKA_00097,,hypothetical protein,BS:PROKKA_00097,,,ab initio prediction:Prodigal:2.6,97598,97832
S1A_contig_001,CDS,98056,99136,-,1080,PROKKA_00098,,hypothetical protein,BS:PROKKA_00098,,,ab initio prediction:Prodigal:2.6,98056,99136
S1A_contig_001,CDS,99260,100004,-,744,PROKKA_00099,,hypothetical protein,BS:PROKKA_00099,,,ab initio prediction:Prodigal:2.6,99260,100004
S1A_contig_001,CDS,100155,100929,-,774,PROKKA_00100,,hypothetical protein,BS:PROKKA_00100,,,ab initio prediction:Prodigal:2.6,100155,100929
S1A_contig_001,CDS,100932,101292,-,360,PROKKA_00101,,hypothetical protein,BS:PROKKA_00101,,,ab initio prediction:Prodigal:2.6,100932,101292
S1A_contig_001,CDS,101307,103350,-,2043,PROKKA_00102,,hypothetical protein,BS:PROKKA_00102,,,ab initio prediction:Prodigal:2.6,101307,103350
S1A_contig_001,CDS,103705,104281,+,576,PROKKA_00103,,hypothetical protein,BS:PROKKA_00103,,,ab initio prediction:Prodigal:2.6,103705,104281
S1A_contig_001,CDS,104534,104831,-,297,PROKKA_00104,,hypothetical protein,BS:PROKKA_00104,,,ab initio prediction:Prodigal:2.6,104534,104831
S1A_contig_001,CDS,105023,105998,+,975,PROKKA_00105,mhqA_1,Putative ring-cleaving dioxygenase MhqA,BS:PROKKA_00105,1.13.11.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O34689,105023,105998
S1A_contig_001,CDS,106069,106393,-,324,PROKKA_00106,,DsrE/DsrF-like family protein,BS:PROKKA_00106,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF02635.1,106069,106393
S1A_contig_001,CDS,106533,107991,-,1458,PROKKA_00107,purP,putative adenine permease PurP,BS:PROKKA_00107,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P31466,106533,107991
S1A_contig_001,CDS,108185,108536,+,351,PROKKA_00108,,hypothetical protein,BS:PROKKA_00108,,,ab initio prediction:Prodigal:2.6,108185,108536
S1A_contig_001,CDS,108832,109195,+,363,PROKKA_00109,,hypothetical protein,BS:PROKKA_00109,,,ab initio prediction:Prodigal:2.6,108832,109195
S1A_contig_001,CDS,109319,110252,-,933,PROKKA_00110,,galactitol-1-phosphate dehydrogenase,BS:PROKKA_00110,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK10309,109319,110252
S1A_contig_001,CDS,110362,110869,+,507,PROKKA_00111,,hypothetical protein,BS:PROKKA_00111,,,ab initio prediction:Prodigal:2.6,110362,110869
S1A_contig_001,CDS,111030,111327,+,297,PROKKA_00112,,hypothetical protein,BS:PROKKA_00112,,,ab initio prediction:Prodigal:2.6,111030,111327
S1A_contig_001,CDS,111409,112411,-,1002,PROKKA_00113,,D-2-hydroxyisocaproate dehydrogenase,BS:PROKKA_00113,1.1.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P17584,111409,112411
S1A_contig_001,CDS,112477,112969,-,492,PROKKA_00114,adaB,"Methylated-DNA--protein-cysteine methyltransferase, inducible",BS:PROKKA_00114,2.1.1.63,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P19220,112477,112969
S1A_contig_001,CDS,113142,114216,+,1074,PROKKA_00115,ddl,D-alanine--D-alanine ligase,BS:PROKKA_00115,6.3.2.4,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q81Q29,113142,114216
S1A_contig_001,CDS,114369,114621,-,252,PROKKA_00116,,hypothetical protein,BS:PROKKA_00116,,,ab initio prediction:Prodigal:2.6,114369,114621
S1A_contig_001,CDS,114842,115919,+,1077,PROKKA_00117,mccF,Microcin C7 self-immunity protein MccF,BS:PROKKA_00117,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q47511,114842,115919
S1A_contig_001,CDS,116136,117117,+,981,PROKKA_00118,,PAP2 superfamily protein,BS:PROKKA_00118,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF01569.15,116136,117117
S1A_contig_001,CDS,117306,117591,+,285,PROKKA_00119,,hypothetical protein,BS:PROKKA_00119,,,ab initio prediction:Prodigal:2.6,117306,117591
S1A_contig_001,CDS,117583,117694,+,111,PROKKA_00120,,hypothetical protein,BS:PROKKA_00120,,,ab initio prediction:Prodigal:2.6,117583,117694
S1A_contig_001,CDS,117739,117862,+,123,PROKKA_00121,,hypothetical protein,BS:PROKKA_00121,,,ab initio prediction:Prodigal:2.6,117739,117862
S1A_contig_001,CDS,118549,119911,+,1362,PROKKA_00122,,6-hydroxy-D-nicotine oxidase,BS:PROKKA_00122,1.5.3.6,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P08159,118549,119911
S1A_contig_001,CDS,120144,120909,-,765,PROKKA_00123,,phosphodiesterase,BS:PROKKA_00123,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09453,120144,120909
S1A_contig_001,CDS,121068,122418,-,1350,PROKKA_00124,,hypothetical protein,BS:PROKKA_00124,,,ab initio prediction:Prodigal:2.6,121068,122418
S1A_contig_001,CDS,122745,123354,+,609,PROKKA_00125,,hypothetical protein,BS:PROKKA_00125,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK04140,122745,123354
S1A_contig_001,CDS,123316,123439,-,123,PROKKA_00126,,hypothetical protein,BS:PROKKA_00126,,,ab initio prediction:Prodigal:2.6,123316,123439
S1A_contig_001,CDS,123665,125849,-,2184,PROKKA_00127,nrdD,Anaerobic ribonucleoside-triphosphate reductase,BS:PROKKA_00127,1.17.4.2,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P28903,123665,125849
S1A_contig_001,CDS,126162,126924,-,762,PROKKA_00128,,ABC-2 family transporter protein,BS:PROKKA_00128,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF12730.1,126162,126924
S1A_contig_001,CDS,126920,127850,-,930,PROKKA_00129,yxlF_2,putative ABC transporter ATP-binding protein YxlF,BS:PROKKA_00129,3.6.3.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P94374,126920,127850
S1A_contig_001,CDS,127846,128062,-,216,PROKKA_00130,yxlE,Negative regulatory protein YxlE,BS:PROKKA_00130,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P94373,127846,128062
S1A_contig_001,CDS,128128,129250,-,1122,PROKKA_00131,,transcriptional repressor DicA,BS:PROKKA_00131,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09706,128128,129250
S1A_contig_001,CDS,129697,130576,-,879,PROKKA_00132,benM,HTH-type transcriptional regulator BenM,BS:PROKKA_00132,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O68014,129697,130576
S1A_contig_001,CDS,130820,133241,+,2421,PROKKA_00133,mgtA_1,"Magnesium-transporting ATPase, P-type 1",BS:PROKKA_00133,3.6.3.2,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0ABB8,130820,133241
S1A_contig_001,CDS,133327,133678,-,351,PROKKA_00134,,hypothetical protein,BS:PROKKA_00134,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q55940,133327,133678
S1A_contig_001,CDS,133772,135632,-,1860,PROKKA_00135,zosA_1,Zinc-transporting ATPase,BS:PROKKA_00135,3.6.3.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O31688,133772,135632
S1A_contig_001,CDS,135940,137236,-,1296,PROKKA_00136,purA,Adenylosuccinate synthetase,BS:PROKKA_00136,6.3.4.4,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P65887,135940,137236
