contig_id,start,end,strand,locus_tag,gene,product,tf_family,evidence_tier,pfam_domains,pfam_all,uniprot_hit,in_bacteriocin_locus,locus_id
S1A_contig_001,468568,470053,+,PROKKA_00455,licR_3,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_001,477347,478097,+,PROKKA_00466,glvR_1,HTH-type transcriptional regulator GlvR,unassigned family,none,,PF01380;PF01418,P54717,yes,BGC_05
S1A_contig_001,478241,479729,-,PROKKA_00467,acpA,Capsule synthesis positive regulator AcpA,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08280,PF00874;PF05043;PF08280,Q44643,yes,BGC_05
S1A_contig_001,492075,492777,+,PROKKA_00476,mprA,Response regulator MprA,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,Q7U0X4,,
S1A_contig_001,505309,506107,-,PROKKA_00487,glpR_1,Glycerol-3-phosphate regulon repressor,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P0ACL0,,
S1A_contig_001,510154,510880,-,PROKKA_00493,gmuR_2,HTH-type transcriptional regulator GmuR,GntR,homology_domain,PF00392,PF00392;PF07702,O05509,,
S1A_contig_001,523956,524694,+,PROKKA_00505,yydK_1,putative HTH-type transcriptional regulator YydK,GntR,homology_domain,PF00392,PF00392;PF07702,Q45591,,
S1A_contig_001,527056,527809,-,PROKKA_00507,glvR_2,HTH-type transcriptional regulator GlvR,unassigned family,none,,PF01380;PF01418,P54717,,
S1A_contig_001,536109,537012,+,PROKKA_00514,gltC_1,HTH-type transcriptional regulator GltC,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P20668,,
S1A_contig_001,549830,550664,-,PROKKA_00529,cysL,HTH-type transcriptional regulator CysL,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P39647,,
S1A_contig_001,585414,586119,-,PROKKA_00561,ypdB,Transcriptional regulatory protein YpdB,LytTR,homology_domain,PF00072;PF04397,PF00072;PF04397,P0AE39,,
S1A_contig_001,595468,596317,+,PROKKA_00573,purR,Pur operon repressor,unassigned family,none,,PF00156;PF09182,P37551,,
S1A_contig_002,8531,8990,+,PROKKA_00629,,putative HTH-type transcriptional regulator,MarR,homology_domain,PF01047,PF01047,Q6GEG9,,
S1A_contig_002,24309,25185,+,PROKKA_00644,oxyR_1,Hydrogen peroxide-inducible genes activator,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P0ACQ4,,
S1A_contig_002,30942,31569,-,PROKKA_00652,lexA,LexA repressor,LexA,homology_domain,PF00717;PF01726,PF00717;PF01726,P31080,,
S1A_contig_002,36791,37130,+,PROKKA_00661,,Transcriptional regulator PadR-like family protein,PadR,direct_domain,PF03551,PF03551,,,
S1A_contig_002,42571,44056,+,PROKKA_00669,pucR,Purine catabolism regulatory protein,unassigned family,none,,PF07905;PF13556;PF17853,O32138,,
S1A_contig_002,45936,46608,-,PROKKA_00672,tcrX,putative transcriptional regulatory protein TcrX,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,O69730,,
S1A_contig_002,78086,78863,+,PROKKA_00699,lacR_1,Lactose phosphotransferase system repressor,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P67744,,
S1A_contig_002,88236,89232,-,PROKKA_00711,lacR_2,HTH-type transcriptional regulator LacR,LacI/GalR,homology_domain,PF00356;PF13377,PF00356;PF13377,Q7WTB0,,
S1A_contig_002,142815,143532,-,PROKKA_00760,treR_2,Trehalose operon transcriptional repressor,GntR,homology_domain,PF00392,PF00392;PF07702,P39796,,
S1A_contig_002,183708,184602,+,PROKKA_00793,gltC_2,HTH-type transcriptional regulator GltC,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P20668,,
S1A_contig_002,207129,207828,-,PROKKA_00803,srrA_2,Transcriptional regulatory protein SrrA,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,Q9L524,,
S1A_contig_002,217229,219140,-,PROKKA_00811,licR_4,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_002,223404,223749,-,PROKKA_00817,yybR_1,putative HTH-type transcriptional regulator YybR,unassigned family,none,,PF01638,P37486,,
S1A_contig_002,226076,226505,+,PROKKA_00820,adhR_1,HTH-type transcriptional regulator AdhR,MerR,homology_domain,PF13411,PF13411,O06008,,
S1A_contig_002,240912,241206,-,PROKKA_00833,sdpR,Transcriptional repressor SdpR,ArsR/SmtB,homology_domain,PF01022,PF01022,O32242,,
S1A_contig_002,245818,246382,+,PROKKA_00839,dhaS,HTH-type dhaKLM operon transcriptional activator DhaS,TetR/AcrR,homology_domain,PF00440,PF00440;PF14278,Q9CIV9,,
S1A_contig_002,255008,257234,-,PROKKA_00847,rhaS,HTH-type transcriptional activator RhaS,AraC/XylS,homology_domain,PF12833,PF02311;PF12833,P09377,,
S1A_contig_002,276715,276976,+,PROKKA_00862,,helix-turn-helix protein,XRE/Cro-CI,direct_domain,PF01381,PF01381,,,
S1A_contig_002,283794,284118,+,PROKKA_00871,yybR_2,putative HTH-type transcriptional regulator YybR,unassigned family,none,,PF01638,P37486,,
S1A_contig_002,288725,289499,+,PROKKA_00875,glcR_2,HTH-type transcriptional repressor GlcR,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P94591,,
S1A_contig_002,291019,291781,+,PROKKA_00878,glpR_2,Glycerol-3-phosphate regulon repressor,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P0ACL0,,
S1A_contig_002,300926,301142,-,PROKKA_00889,,DNA-binding transcriptional regulator MelR,unassigned family,none,,,,,
S1A_contig_002,305613,306501,-,PROKKA_00894,gltC_3,HTH-type transcriptional regulator GltC,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P20668,,
S1A_contig_002,314258,315215,+,PROKKA_00903,sorC,Sorbitol operon regulator,sigma factor,homology_domain,PF04545,PF04198;PF04545,P37078,,
S1A_contig_002,316751,317492,-,PROKKA_00905,yurK,putative HTH-type transcriptional regulator YurK,GntR,homology_domain,PF00392,PF00392;PF07702,O32152,,
S1A_contig_002,328121,329987,-,PROKKA_00918,licR_5,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_002,330341,332066,-,PROKKA_00919,,putative frv operon regulatory protein,unassigned family,none,,,,,
S1A_contig_002,342116,343574,-,PROKKA_00931,licR_6,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_002,345320,348059,-,PROKKA_00933,nifA,Nif-specific regulatory protein,unassigned family,none,,PF00158;PF01590;PF02954;PF25601,P03028,,
S1A_contig_003,414,972,+,PROKKA_00934,ccpN,Transcriptional repressor CcpN,"winged HTH, family unresolved",homology_domain,PF08279,PF00571;PF08279,O34994,,
S1A_contig_003,17042,17939,-,PROKKA_00947,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_003,21556,21931,+,PROKKA_00951,ytrA_1,HTH-type transcriptional repressor YtrA,GntR,homology_domain,PF00392,PF00392,O34712,,
S1A_contig_003,23951,24782,-,PROKKA_00954,ybbH_2,putative HTH-type transcriptional regulator YbbH,unassigned family,none,,PF01380;PF01418,Q45581,,
S1A_contig_003,44900,45839,+,PROKKA_00975,,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",unassigned family,none,,,,,
S1A_contig_003,45835,46795,+,PROKKA_00976,,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",unassigned family,none,,,,,
S1A_contig_003,97288,97942,+,PROKKA_01024,rex_1,Redox-sensing transcriptional repressor Rex,"winged HTH, family unresolved",homology_domain,PF06971,PF02629;PF06971,O05521,,
S1A_contig_003,98083,98449,+,PROKKA_01025,ytrA_2,HTH-type transcriptional repressor YtrA,GntR,homology_domain,PF00392,PF00392,O34712,,
S1A_contig_003,100423,101482,-,PROKKA_01028,brpA_2,Biofilm regulatory protein A precursor,unassigned family,none,,PF03816,Q8DVR0,,
S1A_contig_003,123511,123916,+,PROKKA_01048,adhR_2,HTH-type transcriptional regulator AdhR,MerR,homology_domain,PF13411,PF13411,O06008,,
S1A_contig_003,127521,127911,-,PROKKA_01053,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_003,149592,150450,+,PROKKA_01075,licT_1,Transcription antiterminator LicT,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF03123,PF00874;PF03123,P39805,,
S1A_contig_003,154485,155052,+,PROKKA_01078,yxaF,putative HTH-type transcriptional regulator YxaF,TetR/AcrR,homology_domain,PF00440,PF00440;PF21993,P42105,,
S1A_contig_003,167666,168062,-,PROKKA_01089,ytrA_3,HTH-type transcriptional repressor YtrA,GntR,homology_domain,PF00392,PF00392,O34712,,
S1A_contig_003,173367,174282,+,PROKKA_01094,,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",unassigned family,none,,,,,
S1A_contig_003,209973,210561,+,PROKKA_01126,yusO,putative HTH-type transcriptional regulator YusO,MarR,homology_domain,PF01047,PF01047,O32181,,
S1A_contig_003,214380,214797,+,PROKKA_01130,,DNA-binding transcriptional repressor MarR,MarR,product_name,,,,,
S1A_contig_003,233365,234367,+,PROKKA_01150,rbsR,Ribose operon repressor,LacI/GalR,homology_domain,PF00356;PF13377,PF00356;PF13377,P0ACQ0,,
S1A_contig_004,4554,5025,-,PROKKA_01165,,zinc-responsive transcriptional regulator,unassigned family,none,,,,,
S1A_contig_004,61697,62405,+,PROKKA_01220,phoP,Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,P13792,,
S1A_contig_004,78100,78748,+,PROKKA_01236,yycF_2,Transcriptional regulatory protein YycF,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,P37478,,
S1A_contig_004,92315,93263,+,PROKKA_01246,whiA,Sporulation transcription regulator WhiA,WhiA,homology_domain,PF02650;PF14527,PF02650;PF10298;PF14527,Q9Z515,,
S1A_contig_004,93648,94104,+,PROKKA_01247,ohrR,Organic hydroperoxide resistance transcriptional regulator,unassigned family,none,,PF22381,O34777,,
S1A_contig_004,95611,96649,+,PROKKA_01251,cggR,Central glycolytic genes regulator,unassigned family,none,,PF04198;PF21715,O32253,,
S1A_contig_004,109557,110511,+,PROKKA_01263,exuR,putative HTH-type transcriptional repressor ExuR,LacI/GalR,homology_domain,PF00356;PF13377,PF00356;PF13377,Q9JMQ1,,
S1A_contig_004,143312,143852,+,PROKKA_01293,puuR,HTH-type transcriptional regulator PuuR,XRE/Cro-CI,homology_domain,PF01381,PF01381;PF07883,P0A9U6,,
S1A_contig_004,151688,152354,-,PROKKA_01300,bm3R1_2,HTH-type transcriptional repressor Bm3R1,TetR/AcrR,homology_domain,PF00440,PF00440;PF16295,P43506,,
S1A_contig_004,162600,163332,+,PROKKA_01310,pmpR,Transcriptional regulatory protein PmpR,unassigned family,none,,PF01709;PF20772,Q51423,,
S1A_contig_004,178212,178941,+,PROKKA_01329,srrA_3,Transcriptional regulatory protein SrrA,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,Q9L524,,
S1A_contig_005,5185,6454,+,PROKKA_01398,sigA,RNA polymerase sigma factor SigA,sigma factor,homology_domain,PF00140;PF04539;PF04542;PF04545,PF00140;PF03979;PF04539;PF04542;PF04545,P06224,,
S1A_contig_005,42014,42896,+,PROKKA_01427,oxyR_2,Hydrogen peroxide-inducible genes activator,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P0ACQ4,,
S1A_contig_005,46849,48301,+,PROKKA_01431,,Mga helix-turn-helix domain protein,Mga/PRD virulence regulator,product_name,,PF05043,,,
S1A_contig_005,93372,94065,+,PROKKA_01476,graR_1,Response regulator protein GraR,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,Q5HI09,,
S1A_contig_005,101623,102592,-,PROKKA_01483,cmpR,HTH-type transcriptional activator CmpR,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,Q55459,,
S1A_contig_005,136944,137220,-,PROKKA_01513,hup,DNA-binding protein HU,unassigned family,none,,PF00216,P0A3H0,,
S1A_contig_005,169856,170606,+,PROKKA_01543,glcR_3,HTH-type transcriptional repressor GlcR,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P94591,,
S1A_contig_006,10689,11001,+,PROKKA_01594,,anaerobic benzoate catabolism transcriptional regulator,unassigned family,none,,,,,
S1A_contig_006,28249,29143,-,PROKKA_01612,brpA_3,Biofilm regulatory protein A precursor,unassigned family,none,,PF03816,Q8DVR0,,
S1A_contig_006,33232,33634,+,PROKKA_01615,spxA_1,Regulatory protein Spx,Spx,product_name,,PF03960,Q8DU17,,
S1A_contig_006,54523,54859,+,PROKKA_01629,czrA_1,HTH-type transcriptional repressor CzrA,ArsR/SmtB,homology_domain,PF01022,PF01022,O31844,,
S1A_contig_006,60835,61282,+,PROKKA_01636,zur,Zinc-specific metallo-regulatory protein,Fur/Zur/PerR,homology_domain,PF01475,PF01475,P54479,,
S1A_contig_006,122463,122793,-,PROKKA_01686,,anaerobic benzoate catabolism transcriptional regulator,unassigned family,none,,,,,
S1A_contig_006,125401,126169,+,PROKKA_01688,glcR_4,HTH-type transcriptional repressor GlcR,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P94591,,
S1A_contig_006,145780,146158,-,PROKKA_01709,ytrA_4,HTH-type transcriptional repressor YtrA,GntR,homology_domain,PF00392,PF00392,O34712,,
S1A_contig_006,147275,148310,-,PROKKA_01711,,transcriptional repressor DicA,unassigned family,none,,,,,
S1A_contig_006,150826,151465,-,PROKKA_01714,fadR,Fatty acid metabolism regulator protein,TetR/AcrR,homology_domain,PF00440,PF00440;PF08359,P94548,,
S1A_contig_006,155957,156296,-,PROKKA_01719,,Transcriptional regulator PadR-like family protein,PadR,direct_domain,PF03551,PF03551,,,
S1A_contig_006,168570,169266,+,PROKKA_01735,ydfH_2,putative HTH-type transcriptional regulator YdfH,GntR,homology_domain,PF00392;PF07729,PF00392;PF07729,P0ACM2,,
S1A_contig_006,183133,184663,-,PROKKA_01751,,Mga helix-turn-helix domain protein,Mga/PRD virulence regulator,product_name,,PF05043,,,
S1A_contig_006,184923,186501,+,PROKKA_01752,,Mga helix-turn-helix domain protein,Mga/PRD virulence regulator,product_name,,PF05043,,,
S1A_contig_007,29051,29318,-,PROKKA_01796,,helix-turn-helix protein,XRE/Cro-CI,direct_domain,PF01381,PF01381,,,
S1A_contig_007,29466,30114,+,PROKKA_01797,,LexA repressor,LexA,product_name,,,,,
S1A_contig_007,46113,46458,-,PROKKA_01817,,putative DNA-binding protein,unassigned family,none,,,,,
S1A_contig_007,80852,81305,-,PROKKA_01848,argR_1,Arginine repressor,unassigned family,none,,PF01316;PF02863,O31408,,
S1A_contig_007,95533,95896,-,PROKKA_01867,glnR,HTH-type transcriptional regulator GlnR,MerR,homology_domain,PF13411,PF13411,P37582,,
S1A_contig_007,108971,109637,-,PROKKA_01879,liaR,Transcriptional regulatory protein LiaR,NarL/FixJ response regulator,homology_domain,PF00072;PF00196,PF00072;PF00196,O32197,,
S1A_contig_007,118263,118638,-,PROKKA_01887,yodB,HTH-type transcriptional regulator YodB,unassigned family,none,,PF01638,O34844,,
S1A_contig_007,123509,124196,-,PROKKA_01893,arlR,Response regulator ArlR,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,P0C000,,
S1A_contig_007,145764,146232,-,PROKKA_01921,nrdR,Transcriptional repressor NrdR,NrdR,product_name,,PF03477;PF22811,P0A8D0,,
S1A_contig_008,22988,23618,+,PROKKA_01961,immR_1,HTH-type transcriptional regulator ImmR,XRE/Cro-CI,homology_domain,PF01381,PF01381,P96631,yes,BGC_08
S1A_contig_008,23753,24083,+,PROKKA_01962,,lineage-specific thermal regulator protein,unassigned family,none,,,,yes,BGC_08
S1A_contig_008,35182,35989,+,PROKKA_01975,agrA,Accessory gene regulator protein A,LytTR,homology_domain,PF00072;PF04397,PF00072;PF04397,P0A0I7,yes,BGC_08
S1A_contig_008,59752,60085,+,PROKKA_02004,czrA_2,HTH-type transcriptional repressor CzrA,ArsR/SmtB,homology_domain,PF01022,PF01022,O31844,,
S1A_contig_008,101084,101696,-,PROKKA_02047,,putative DNA-binding transcriptional regulator,unassigned family,none,,,,,
S1A_contig_008,104214,104976,+,PROKKA_02051,mta,HTH-type transcriptional activator mta,MerR,homology_domain,PF13411,PF07739;PF13411,P71039,,
S1A_contig_008,147348,149856,-,PROKKA_02095,clpC_2,Negative regulator of genetic competence ClpC/MecB,unassigned family,none,,PF00004;PF02861;PF07724;PF10431;PF17871,P37571,,
S1A_contig_008,149895,150363,-,PROKKA_02096,ctsR,Transcriptional regulator CtsR,CtsR,homology_domain,PF05848,PF05848;PF17727,Q88XZ6,,
S1A_contig_009,50745,51399,-,PROKKA_02151,rex_2,Redox-sensing transcriptional repressor Rex,"winged HTH, family unresolved",homology_domain,PF06971,PF02629;PF06971,O05521,,
S1A_contig_009,54404,56108,-,PROKKA_02154,ezrA,Septation ring formation regulator EzrA,unassigned family,none,,PF06160,O34894,,
S1A_contig_009,64015,64420,-,PROKKA_02159,merR1,Mercuric resistance operon regulatory protein,MerR,homology_domain,PF13411,PF13411,P22853,,
S1A_contig_009,68791,69400,+,PROKKA_02164,nreC,Oxygen regulatory protein NreC,NarL/FixJ response regulator,homology_domain,PF00072;PF00196,PF00072;PF00196,Q7WZY4,,
S1A_contig_009,74544,75306,-,PROKKA_02169,,putative response regulatory protein,AraC/XylS,homology_domain,PF00072;PF12833,PF00072;PF12833,Q5HJF7,,
S1A_contig_009,80295,81174,+,PROKKA_02177,cynR,HTH-type transcriptional regulator CynR,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,P27111,,
S1A_contig_009,100705,101593,-,PROKKA_02197,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_010,1408,1735,-,PROKKA_02211,,helix-turn-helix protein,XRE/Cro-CI,direct_domain,PF01381,PF01381,,,
S1A_contig_010,39117,39948,+,PROKKA_02252,yqfL,"Putative pyruvate, phosphate dikinase regulatory protein",unassigned family,none,,PF03618,P54470,,
S1A_contig_011,10519,12454,+,PROKKA_02300,licR_7,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_011,21028,21754,-,PROKKA_02309,cmtR,HTH-type transcriptional regulator CmtR,unassigned family,none,,,P67731,,
S1A_contig_011,55539,56223,-,PROKKA_02344,fnr,Anaerobic regulatory protein,Crp/Fnr,homology_domain,PF00325,PF00027;PF00325,P46908,,
S1A_contig_012,28721,28985,-,PROKKA_02416,,helix-turn-helix protein,XRE/Cro-CI,direct_domain,PF01381,PF01381,,,
S1A_contig_012,29148,29607,+,PROKKA_02417,immR_2,HTH-type transcriptional regulator ImmR,XRE/Cro-CI,homology_domain,PF01381,PF01381,P96631,,
S1A_contig_012,57002,57833,+,PROKKA_02443,licT_2,Transcription antiterminator LicT,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF03123,PF00874;PF03123,P39805,,
S1A_contig_013,6384,7179,-,PROKKA_02459,recX,Regulatory protein RecX,unassigned family,none,,PF21981;PF21982;PF27462,P66003,,
S1A_contig_013,7252,8788,+,PROKKA_02460,,Mga helix-turn-helix domain protein,Mga/PRD virulence regulator,product_name,,PF05043,,,
S1A_contig_013,11442,12180,-,PROKKA_02464,yydK_2,putative HTH-type transcriptional regulator YydK,GntR,homology_domain,PF00392,PF00392;PF07702,Q45591,,
S1A_contig_013,41219,41921,-,PROKKA_02494,yvoA_1,HTH-type transcriptional repressor YvoA,GntR,homology_domain,PF00392,PF00392;PF07702,O34817,,
S1A_contig_014,9268,9913,+,PROKKA_02525,dtxR,Diphtheria toxin repressor,unassigned family,none,,PF01325;PF02742;PF18357,P0DJL7,,
S1A_contig_014,39266,39788,+,PROKKA_02555,niaR,putative transcription repressor NiaR,"winged HTH, family unresolved",homology_domain,PF08279,PF02829;PF08279,Q9X1T8,,
S1A_contig_014,46193,46946,-,PROKKA_02560,birA,Bifunctional ligase/repressor BirA,"winged HTH, family unresolved",homology_domain,PF08279,PF02237;PF03099;PF08279,P0CI75,,
S1A_contig_015,5180,6974,+,PROKKA_02580,licR_8,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_015,21310,22027,-,PROKKA_02595,yvoA_2,HTH-type transcriptional repressor YvoA,GntR,homology_domain,PF00392,PF00392;PF07702,O34817,,
S1A_contig_016,10869,11778,-,PROKKA_02631,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_016,17827,18874,-,PROKKA_02637,hrcA,Heat-inducible transcription repressor HrcA,HrcA,homology_domain,PF01628,PF01628;PF03444,P30727,,
S1A_contig_016,35180,36422,-,PROKKA_02650,rasP,Regulator of sigma-W protease RasP,unassigned family,none,,PF02163;PF17820,O31754,,
