contig_id,window_start,window_end,gc_percent,gc_deviation,cumulative_start,cumulative_end
S1A_contig_001,165000,170000,47.1,0.9799,165000,170000
S1A_contig_001,170000,175000,47.88,1.7599,170000,175000
S1A_contig_001,175000,180000,47.02,0.8999,175000,180000
S1A_contig_001,180000,185000,48.42,2.2999,180000,185000
S1A_contig_001,185000,190000,47.98,1.8599,185000,190000
S1A_contig_001,190000,195000,41.6,-4.5201,190000,195000
S1A_contig_001,195000,200000,42.04,-4.0801,195000,200000
S1A_contig_001,200000,205000,41.44,-4.6801,200000,205000
S1A_contig_001,205000,210000,46.76,0.6399,205000,210000
S1A_contig_001,210000,215000,43.82,-2.3001,210000,215000
S1A_contig_001,215000,220000,41.58,-4.5401,215000,220000
S1A_contig_001,220000,225000,49.14,3.0199,220000,225000
S1A_contig_001,225000,230000,41.76,-4.3601,225000,230000
S1A_contig_001,230000,235000,47.46,1.3399,230000,235000
S1A_contig_001,235000,240000,48.88,2.7599,235000,240000
S1A_contig_001,240000,245000,43.38,-2.7401,240000,245000
S1A_contig_001,245000,250000,46.94,0.8199,245000,250000
S1A_contig_001,250000,255000,48.46,2.3399,250000,255000
S1A_contig_001,255000,260000,46.26,0.1399,255000,260000
S1A_contig_001,260000,265000,45.88,-0.2401,260000,265000
S1A_contig_001,265000,270000,44.5,-1.6201,265000,270000
S1A_contig_001,270000,275000,47.66,1.5399,270000,275000
S1A_contig_001,275000,280000,48.2,2.0799,275000,280000
S1A_contig_001,280000,285000,45.4,-0.7201,280000,285000
S1A_contig_001,285000,290000,46.76,0.6399,285000,290000
S1A_contig_001,290000,295000,46.0,-0.1201,290000,295000
S1A_contig_001,295000,300000,46.68,0.5599,295000,300000
S1A_contig_001,300000,305000,46.96,0.8399,300000,305000
S1A_contig_001,305000,310000,47.64,1.5199,305000,310000
S1A_contig_001,310000,315000,47.0,0.8799,310000,315000
S1A_contig_001,315000,320000,45.64,-0.4801,315000,320000
S1A_contig_001,320000,325000,46.62,0.4999,320000,325000
S1A_contig_001,325000,330000,49.4,3.2799,325000,330000
S1A_contig_001,330000,335000,46.3,0.1799,330000,335000
S1A_contig_001,335000,340000,48.62,2.4999,335000,340000
S1A_contig_001,340000,345000,46.82,0.6999,340000,345000
S1A_contig_001,345000,350000,46.4,0.2799,345000,350000
S1A_contig_001,350000,355000,46.96,0.8399,350000,355000
S1A_contig_001,355000,360000,47.04,0.9199,355000,360000
S1A_contig_001,360000,365000,46.18,0.0599,360000,365000
S1A_contig_001,365000,370000,46.4,0.2799,365000,370000
S1A_contig_001,370000,375000,47.0,0.8799,370000,375000
S1A_contig_001,375000,380000,51.66,5.5399,375000,380000
S1A_contig_001,380000,385000,46.76,0.6399,380000,385000
S1A_contig_001,385000,390000,46.5,0.3799,385000,390000
S1A_contig_001,390000,395000,45.76,-0.3601,390000,395000
S1A_contig_001,395000,400000,43.96,-2.1601,395000,400000
S1A_contig_001,400000,405000,47.2,1.0799,400000,405000
S1A_contig_001,405000,410000,49.74,3.6199,405000,410000
S1A_contig_001,410000,415000,46.18,0.0599,410000,415000
S1A_contig_001,415000,420000,43.28,-2.8401,415000,420000
S1A_contig_001,420000,425000,43.54,-2.5801,420000,425000
S1A_contig_001,425000,430000,46.18,0.0599,425000,430000
S1A_contig_001,430000,435000,43.8,-2.3201,430000,435000
S1A_contig_001,435000,440000,45.16,-0.9601,435000,440000
S1A_contig_001,440000,445000,48.52,2.3999,440000,445000
S1A_contig_001,445000,450000,45.76,-0.3601,445000,450000
S1A_contig_001,450000,455000,42.34,-3.7801,450000,455000
S1A_contig_001,455000,460000,41.28,-4.8401,455000,460000
S1A_contig_001,460000,465000,38.06,-8.0601,460000,465000
S1A_contig_001,465000,470000,41.22,-4.9001,465000,470000
S1A_contig_001,470000,475000,46.44,0.3199,470000,475000
S1A_contig_001,475000,480000,43.0,-3.1201,475000,480000
S1A_contig_001,480000,485000,41.06,-5.0601,480000,485000
S1A_contig_001,485000,490000,46.36,0.2399,485000,490000
S1A_contig_001,490000,495000,46.18,0.0599,490000,495000
S1A_contig_001,495000,500000,46.14,0.0199,495000,500000
S1A_contig_001,500000,505000,45.44,-0.6801,500000,505000
S1A_contig_001,505000,510000,44.98,-1.1401,505000,510000
S1A_contig_001,510000,515000,46.78,0.6599,510000,515000
S1A_contig_001,515000,520000,48.32,2.1999,515000,520000
S1A_contig_001,520000,525000,47.4,1.2799,520000,525000
S1A_contig_001,525000,530000,48.16,2.0399,525000,530000
S1A_contig_001,530000,535000,46.68,0.5599,530000,535000
S1A_contig_001,535000,540000,47.72,1.5999,535000,540000
S1A_contig_001,540000,545000,47.48,1.3599,540000,545000
S1A_contig_001,545000,550000,48.3,2.1799,545000,550000
S1A_contig_001,550000,555000,47.8,1.6799,550000,555000
S1A_contig_001,555000,560000,49.76,3.6399,555000,560000
S1A_contig_001,560000,565000,50.1,3.9799,560000,565000
S1A_contig_001,565000,570000,45.5,-0.6201,565000,570000
S1A_contig_001,570000,575000,46.72,0.5999,570000,575000
S1A_contig_001,575000,580000,47.16,1.0399,575000,580000
S1A_contig_001,580000,585000,47.72,1.5999,580000,585000
S1A_contig_001,585000,590000,47.32,1.1999,585000,590000
S1A_contig_001,590000,595000,49.6,3.4799,590000,595000
S1A_contig_001,595000,600000,47.12,0.9999,595000,600000
S1A_contig_001,600000,605000,44.84,-1.2801,600000,605000
S1A_contig_001,605000,610000,46.0,-0.1201,605000,610000
S1A_contig_001,610000,615000,45.76,-0.3601,610000,615000
S1A_contig_001,615000,620000,47.04,0.9199,615000,620000
S1A_contig_001,620000,625000,47.44,1.3199,620000,625000
S1A_contig_001,625000,630000,47.86,1.7399,625000,630000
S1A_contig_001,630000,635000,45.12,-1.0001,630000,635000
S1A_contig_001,635000,640000,48.7,2.5799,635000,640000
S1A_contig_001,640000,645000,48.84,2.7199,640000,645000
S1A_contig_001,645000,650000,46.66,0.5399,645000,650000
S1A_contig_002,0,5000,46.96,0.8399,651111,656111
S1A_contig_002,5000,10000,45.98,-0.1401,656111,661111
S1A_contig_002,10000,15000,47.12,0.9999,661111,666111
S1A_contig_002,15000,20000,46.52,0.3999,666111,671111
S1A_contig_002,20000,25000,46.28,0.1599,671111,676111
S1A_contig_002,25000,30000,47.98,1.8599,676111,681111
S1A_contig_002,30000,35000,45.06,-1.0601,681111,686111
S1A_contig_002,35000,40000,48.06,1.9399,686111,691111
S1A_contig_002,40000,45000,45.78,-0.3401,691111,696111
S1A_contig_002,45000,50000,48.02,1.8999,696111,701111
S1A_contig_002,50000,55000,49.2,3.0799,701111,706111
S1A_contig_002,55000,60000,48.34,2.2199,706111,711111
S1A_contig_002,60000,65000,46.36,0.2399,711111,716111
S1A_contig_002,65000,70000,47.66,1.5399,716111,721111
S1A_contig_002,70000,75000,47.48,1.3599,721111,726111
S1A_contig_002,75000,80000,45.52,-0.6001,726111,731111
S1A_contig_002,80000,85000,45.38,-0.7401,731111,736111
S1A_contig_002,85000,90000,45.56,-0.5601,736111,741111
S1A_contig_002,90000,95000,46.12,-0.0001,741111,746111
S1A_contig_002,95000,100000,49.82,3.6999,746111,751111
S1A_contig_002,100000,105000,43.36,-2.7601,751111,756111
S1A_contig_002,105000,110000,39.42,-6.7001,756111,761111
S1A_contig_002,110000,115000,48.28,2.1599,761111,766111
S1A_contig_002,115000,120000,48.52,2.3999,766111,771111
S1A_contig_002,120000,125000,47.8,1.6799,771111,776111
S1A_contig_002,125000,130000,46.98,0.8599,776111,781111
S1A_contig_002,130000,135000,47.8,1.6799,781111,786111
S1A_contig_002,135000,140000,47.86,1.7399,786111,791111
S1A_contig_002,140000,145000,47.82,1.6999,791111,796111
S1A_contig_002,145000,150000,47.32,1.1999,796111,801111
S1A_contig_002,150000,155000,48.46,2.3399,801111,806111
S1A_contig_002,155000,160000,49.4,3.2799,806111,811111
S1A_contig_002,160000,165000,46.04,-0.0801,811111,816111
S1A_contig_002,165000,170000,46.42,0.2999,816111,821111
S1A_contig_002,170000,175000,49.08,2.9599,821111,826111
S1A_contig_002,175000,180000,47.06,0.9399,826111,831111
S1A_contig_002,180000,185000,48.06,1.9399,831111,836111
S1A_contig_002,185000,190000,47.32,1.1999,836111,841111
S1A_contig_002,190000,195000,47.42,1.2999,841111,846111
S1A_contig_002,195000,200000,45.16,-0.9601,846111,851111
S1A_contig_002,200000,205000,46.38,0.2599,851111,856111
S1A_contig_002,205000,210000,46.42,0.2999,856111,861111
S1A_contig_002,210000,215000,45.06,-1.0601,861111,866111
S1A_contig_002,215000,220000,42.02,-4.1001,866111,871111
S1A_contig_002,220000,225000,46.04,-0.0801,871111,876111
S1A_contig_002,225000,230000,48.16,2.0399,876111,881111
S1A_contig_002,230000,235000,48.36,2.2399,881111,886111
S1A_contig_002,235000,240000,45.94,-0.1801,886111,891111
S1A_contig_002,240000,245000,48.14,2.0199,891111,896111
S1A_contig_002,245000,250000,45.78,-0.3401,896111,901111
S1A_contig_002,250000,255000,43.9,-2.2201,901111,906111
S1A_contig_002,255000,260000,45.22,-0.9001,906111,911111
S1A_contig_002,260000,265000,48.34,2.2199,911111,916111
S1A_contig_002,265000,270000,46.04,-0.0801,916111,921111
S1A_contig_002,270000,275000,45.92,-0.2001,921111,926111
S1A_contig_002,275000,280000,46.88,0.7599,926111,931111
S1A_contig_002,280000,285000,46.56,0.4399,931111,936111
S1A_contig_002,285000,290000,42.42,-3.7001,936111,941111
S1A_contig_002,290000,295000,45.3,-0.8201,941111,946111
S1A_contig_002,295000,300000,44.4,-1.7201,946111,951111
S1A_contig_002,300000,305000,45.1,-1.0201,951111,956111
S1A_contig_002,305000,310000,40.48,-5.6401,956111,961111
S1A_contig_002,310000,315000,43.3,-2.8201,961111,966111
S1A_contig_002,315000,320000,43.06,-3.0601,966111,971111
S1A_contig_002,320000,325000,42.66,-3.4601,971111,976111
S1A_contig_002,325000,330000,41.3,-4.8201,976111,981111
S1A_contig_002,330000,335000,42.46,-3.6601,981111,986111
S1A_contig_002,335000,340000,43.54,-2.5801,986111,991111
S1A_contig_002,340000,345000,41.46,-4.6601,991111,996111
S1A_contig_003,0,5000,48.18,2.0599,999426,1004426
S1A_contig_003,5000,10000,47.74,1.6199,1004426,1009426
S1A_contig_003,10000,15000,46.4,0.2799,1009426,1014426
S1A_contig_003,15000,20000,42.04,-4.0801,1014426,1019426
S1A_contig_003,20000,25000,46.26,0.1399,1019426,1024426
S1A_contig_003,25000,30000,47.44,1.3199,1024426,1029426
S1A_contig_003,30000,35000,48.04,1.9199,1029426,1034426
S1A_contig_003,35000,40000,48.0,1.8799,1034426,1039426
S1A_contig_003,40000,45000,46.42,0.2999,1039426,1044426
S1A_contig_003,45000,50000,47.02,0.8999,1044426,1049426
S1A_contig_003,50000,55000,49.72,3.5999,1049426,1054426
S1A_contig_003,55000,60000,48.52,2.3999,1054426,1059426
S1A_contig_003,60000,65000,47.58,1.4599,1059426,1064426
S1A_contig_003,65000,70000,44.64,-1.4801,1064426,1069426
S1A_contig_003,70000,75000,47.96,1.8399,1069426,1074426
S1A_contig_003,75000,80000,47.2,1.0799,1074426,1079426
S1A_contig_003,80000,85000,47.78,1.6599,1079426,1084426
S1A_contig_003,85000,90000,47.76,1.6399,1084426,1089426
S1A_contig_003,90000,95000,47.54,1.4199,1089426,1094426
S1A_contig_003,95000,100000,45.66,-0.4601,1094426,1099426
S1A_contig_003,100000,105000,46.52,0.3999,1099426,1104426
S1A_contig_003,105000,110000,46.5,0.3799,1104426,1109426
S1A_contig_003,110000,115000,49.4,3.2799,1109426,1114426
S1A_contig_003,115000,120000,46.56,0.4399,1114426,1119426
S1A_contig_003,120000,125000,45.32,-0.8001,1119426,1124426
S1A_contig_003,125000,130000,45.42,-0.7001,1124426,1129426
S1A_contig_003,130000,135000,47.4,1.2799,1129426,1134426
S1A_contig_003,135000,140000,47.0,0.8799,1134426,1139426
S1A_contig_003,140000,145000,44.14,-1.9801,1139426,1144426
S1A_contig_003,145000,150000,47.38,1.2599,1144426,1149426
S1A_contig_003,150000,155000,47.0,0.8799,1149426,1154426
S1A_contig_003,155000,160000,48.18,2.0599,1154426,1159426
S1A_contig_003,160000,165000,48.58,2.4599,1159426,1164426
S1A_contig_003,165000,170000,46.96,0.8399,1164426,1169426
S1A_contig_003,170000,175000,47.88,1.7599,1169426,1174426
S1A_contig_003,175000,180000,45.08,-1.0401,1174426,1179426
S1A_contig_003,180000,185000,46.8,0.6799,1179426,1184426
S1A_contig_003,185000,190000,48.12,1.9999,1184426,1189426
S1A_contig_003,190000,195000,47.12,0.9999,1189426,1194426
S1A_contig_003,195000,200000,48.88,2.7599,1194426,1199426
S1A_contig_003,200000,205000,45.62,-0.5001,1199426,1204426
S1A_contig_003,205000,210000,46.28,0.1599,1204426,1209426
S1A_contig_003,210000,215000,49.48,3.3599,1209426,1214426
S1A_contig_003,215000,220000,46.82,0.6999,1214426,1219426
S1A_contig_003,220000,225000,50.22,4.0999,1219426,1224426
S1A_contig_003,225000,230000,49.7,3.5799,1224426,1229426
S1A_contig_003,230000,235000,50.1,3.9799,1229426,1234426
S1A_contig_003,235000,240000,48.68,2.5599,1234426,1239426
S1A_contig_003,240000,245000,35.3,-10.8201,1239426,1244426
S1A_contig_003,245000,250000,42.58,-3.5401,1244426,1249426
S1A_contig_004,0,5000,45.38,-0.7401,1252864,1257864
S1A_contig_004,5000,10000,46.26,0.1399,1257864,1262864
S1A_contig_004,10000,15000,47.52,1.3999,1262864,1267864
S1A_contig_004,15000,20000,47.78,1.6599,1267864,1272864
S1A_contig_004,20000,25000,47.78,1.6599,1272864,1277864
S1A_contig_004,25000,30000,46.46,0.3399,1277864,1282864
S1A_contig_004,30000,35000,45.7,-0.4201,1282864,1287864
S1A_contig_004,35000,40000,46.52,0.3999,1287864,1292864
S1A_contig_004,40000,45000,48.1,1.9799,1292864,1297864
S1A_contig_004,45000,50000,47.54,1.4199,1297864,1302864
S1A_contig_004,50000,55000,48.48,2.3599,1302864,1307864
S1A_contig_004,55000,60000,46.6,0.4799,1307864,1312864
S1A_contig_004,60000,65000,48.26,2.1399,1312864,1317864
S1A_contig_004,65000,70000,46.44,0.3199,1317864,1322864
S1A_contig_004,70000,75000,47.52,1.3999,1322864,1327864
S1A_contig_004,75000,80000,48.0,1.8799,1327864,1332864
S1A_contig_004,80000,85000,47.36,1.2399,1332864,1337864
S1A_contig_004,85000,90000,47.32,1.1999,1337864,1342864
S1A_contig_004,90000,95000,44.88,-1.2401,1342864,1347864
S1A_contig_004,95000,100000,46.6,0.4799,1347864,1352864
S1A_contig_004,100000,105000,47.84,1.7199,1352864,1357864
S1A_contig_004,105000,110000,45.5,-0.6201,1357864,1362864
S1A_contig_004,110000,115000,45.86,-0.2601,1362864,1367864
S1A_contig_004,115000,120000,47.3,1.1799,1367864,1372864
S1A_contig_004,120000,125000,44.56,-1.5601,1372864,1377864
S1A_contig_004,125000,130000,46.88,0.7599,1377864,1382864
S1A_contig_004,130000,135000,47.88,1.7599,1382864,1387864
S1A_contig_004,135000,140000,45.66,-0.4601,1387864,1392864
S1A_contig_004,140000,145000,47.08,0.9599,1392864,1397864
S1A_contig_004,145000,150000,44.5,-1.6201,1397864,1402864
S1A_contig_004,150000,155000,46.66,0.5399,1402864,1407864
S1A_contig_004,155000,160000,46.22,0.0999,1407864,1412864
S1A_contig_004,160000,165000,47.18,1.0599,1412864,1417864
S1A_contig_004,165000,170000,45.86,-0.2601,1417864,1422864
S1A_contig_004,170000,175000,46.06,-0.0601,1422864,1427864
S1A_contig_004,175000,180000,45.94,-0.1801,1427864,1432864
S1A_contig_004,180000,185000,45.5,-0.6201,1432864,1437864
S1A_contig_004,185000,190000,47.9,1.7799,1437864,1442864
S1A_contig_004,190000,195000,48.66,2.5399,1442864,1447864
S1A_contig_004,195000,200000,47.7,1.5799,1447864,1452864
S1A_contig_004,200000,205000,47.2,1.0799,1452864,1457864
S1A_contig_004,205000,210000,47.0,0.8799,1457864,1462864
S1A_contig_004,210000,215000,48.78,2.6599,1462864,1467864
S1A_contig_004,215000,220000,48.72,2.5999,1467864,1472864
S1A_contig_004,220000,225000,46.06,-0.0601,1472864,1477864
S1A_contig_004,225000,230000,46.76,0.6399,1477864,1482864
S1A_contig_004,230000,235000,41.12,-5.0001,1482864,1487864
S1A_contig_004,235000,240000,44.84,-1.2801,1487864,1492864
S1A_contig_004,240000,245000,44.68,-1.4401,1492864,1497864
S1A_contig_004,245000,250000,42.48,-3.6401,1497864,1502864
S1A_contig_005,0,5000,47.82,1.6999,1504231,1509231
S1A_contig_005,5000,10000,47.44,1.3199,1509231,1514231
S1A_contig_005,10000,15000,49.48,3.3599,1514231,1519231
S1A_contig_005,15000,20000,49.06,2.9399,1519231,1524231
S1A_contig_005,20000,25000,48.04,1.9199,1524231,1529231
S1A_contig_005,25000,30000,47.34,1.2199,1529231,1534231
S1A_contig_005,30000,35000,47.0,0.8799,1534231,1539231
S1A_contig_005,35000,40000,46.46,0.3399,1539231,1544231
S1A_contig_005,40000,45000,46.22,0.0999,1544231,1549231
S1A_contig_005,45000,50000,46.04,-0.0801,1549231,1554231
S1A_contig_005,50000,55000,47.32,1.1999,1554231,1559231
S1A_contig_005,55000,60000,49.08,2.9599,1559231,1564231
S1A_contig_005,60000,65000,48.54,2.4199,1564231,1569231
S1A_contig_005,65000,70000,48.24,2.1199,1569231,1574231
S1A_contig_005,70000,75000,48.56,2.4399,1574231,1579231
S1A_contig_005,75000,80000,47.62,1.4999,1579231,1584231
S1A_contig_005,80000,85000,47.6,1.4799,1584231,1589231
S1A_contig_005,85000,90000,48.84,2.7199,1589231,1594231
S1A_contig_005,90000,95000,46.12,-0.0001,1594231,1599231
S1A_contig_005,95000,100000,46.38,0.2599,1599231,1604231
S1A_contig_005,100000,105000,45.72,-0.4001,1604231,1609231
S1A_contig_005,105000,110000,47.42,1.2999,1609231,1614231
S1A_contig_005,110000,115000,47.44,1.3199,1614231,1619231
S1A_contig_005,115000,120000,46.8,0.6799,1619231,1624231
S1A_contig_005,120000,125000,48.22,2.0999,1624231,1629231
S1A_contig_005,125000,130000,45.58,-0.5401,1629231,1634231
S1A_contig_005,130000,135000,47.8,1.6799,1634231,1639231
S1A_contig_005,135000,140000,46.92,0.7999,1639231,1644231
S1A_contig_005,140000,145000,48.22,2.0999,1644231,1649231
S1A_contig_005,145000,150000,46.88,0.7599,1649231,1654231
S1A_contig_005,150000,155000,47.12,0.9999,1654231,1659231
S1A_contig_005,155000,160000,46.84,0.7199,1659231,1664231
S1A_contig_005,160000,165000,46.6,0.4799,1664231,1669231
S1A_contig_005,165000,170000,46.54,0.4199,1669231,1674231
S1A_contig_005,170000,175000,48.46,2.3399,1674231,1679231
S1A_contig_005,175000,180000,45.24,-0.8801,1679231,1684231
S1A_contig_005,180000,185000,45.88,-0.2401,1684231,1689231
S1A_contig_005,185000,190000,45.94,-0.1801,1689231,1694231
S1A_contig_005,190000,195000,47.9,1.7799,1694231,1699231
S1A_contig_005,195000,200000,48.84,2.7199,1699231,1704231
S1A_contig_005,200000,205000,47.08,0.9599,1704231,1709231
S1A_contig_005,205000,210000,47.8,1.6799,1709231,1714231
S1A_contig_005,210000,215000,46.78,0.6599,1714231,1719231
S1A_contig_006,0,5000,45.46,-0.6601,1722921,1727921
S1A_contig_006,5000,10000,48.38,2.2599,1727921,1732921
S1A_contig_006,10000,15000,46.7,0.5799,1732921,1737921
S1A_contig_006,15000,20000,40.38,-5.7401,1737921,1742921
S1A_contig_006,20000,25000,37.74,-8.3801,1742921,1747921
S1A_contig_006,25000,30000,40.02,-6.1001,1747921,1752921
S1A_contig_006,30000,35000,45.24,-0.8801,1752921,1757921
S1A_contig_006,35000,40000,46.28,0.1599,1757921,1762921
S1A_contig_006,40000,45000,48.38,2.2599,1762921,1767921
S1A_contig_006,45000,50000,48.0,1.8799,1767921,1772921
S1A_contig_006,50000,55000,47.2,1.0799,1772921,1777921
S1A_contig_006,55000,60000,46.6,0.4799,1777921,1782921
S1A_contig_006,60000,65000,46.14,0.0199,1782921,1787921
S1A_contig_006,65000,70000,44.6,-1.5201,1787921,1792921
S1A_contig_006,70000,75000,42.32,-3.8001,1792921,1797921
S1A_contig_006,75000,80000,42.66,-3.4601,1797921,1802921
S1A_contig_006,80000,85000,40.68,-5.4401,1802921,1807921
S1A_contig_006,85000,90000,42.86,-3.2601,1807921,1812921
S1A_contig_006,90000,95000,44.98,-1.1401,1812921,1817921
S1A_contig_006,95000,100000,47.36,1.2399,1817921,1822921
S1A_contig_006,100000,105000,47.22,1.0999,1822921,1827921
S1A_contig_006,105000,110000,47.12,0.9999,1827921,1832921
S1A_contig_006,110000,115000,47.78,1.6599,1832921,1837921
S1A_contig_006,115000,120000,43.72,-2.4001,1837921,1842921
S1A_contig_006,120000,125000,42.54,-3.5801,1842921,1847921
S1A_contig_006,125000,130000,45.58,-0.5401,1847921,1852921
S1A_contig_006,130000,135000,45.72,-0.4001,1852921,1857921
S1A_contig_006,135000,140000,45.72,-0.4001,1857921,1862921
S1A_contig_006,140000,145000,47.94,1.8199,1862921,1867921
S1A_contig_006,145000,150000,47.1,0.9799,1867921,1872921
S1A_contig_006,150000,155000,48.08,1.9599,1872921,1877921
S1A_contig_006,155000,160000,45.36,-0.7601,1877921,1882921
S1A_contig_006,160000,165000,48.96,2.8399,1882921,1887921
S1A_contig_006,165000,170000,49.2,3.0799,1887921,1892921
S1A_contig_006,170000,175000,45.64,-0.4801,1892921,1897921
S1A_contig_006,175000,180000,45.62,-0.5001,1897921,1902921
S1A_contig_006,180000,185000,46.12,-0.0001,1902921,1907921
S1A_contig_007,0,5000,45.42,-0.7001,1911390,1916390
S1A_contig_007,5000,10000,45.7,-0.4201,1916390,1921390
S1A_contig_007,10000,15000,43.72,-2.4001,1921390,1926390
S1A_contig_007,15000,20000,43.54,-2.5801,1926390,1931390
S1A_contig_007,20000,25000,44.98,-1.1401,1931390,1936390
S1A_contig_007,25000,30000,42.1,-4.0201,1936390,1941390
S1A_contig_007,30000,35000,41.24,-4.8801,1941390,1946390
S1A_contig_007,35000,40000,45.54,-0.5801,1946390,1951390
S1A_contig_007,40000,45000,47.4,1.2799,1951390,1956390
S1A_contig_007,45000,50000,47.08,0.9599,1956390,1961390
S1A_contig_007,50000,55000,44.86,-1.2601,1961390,1966390
S1A_contig_007,55000,60000,45.48,-0.6401,1966390,1971390
S1A_contig_007,60000,65000,47.4,1.2799,1971390,1976390
S1A_contig_007,65000,70000,48.12,1.9999,1976390,1981390
S1A_contig_007,70000,75000,48.7,2.5799,1981390,1986390
S1A_contig_007,75000,80000,48.0,1.8799,1986390,1991390
S1A_contig_007,80000,85000,48.02,1.8999,1991390,1996390
S1A_contig_007,85000,90000,47.04,0.9199,1996390,2001390
S1A_contig_007,90000,95000,45.14,-0.9801,2001390,2006390
S1A_contig_007,95000,100000,48.12,1.9999,2006390,2011390
S1A_contig_007,100000,105000,47.16,1.0399,2011390,2016390
S1A_contig_007,105000,110000,46.74,0.6199,2016390,2021390
S1A_contig_007,110000,115000,46.72,0.5999,2021390,2026390
S1A_contig_007,115000,120000,46.62,0.4999,2026390,2031390
S1A_contig_007,120000,125000,45.48,-0.6401,2031390,2036390
S1A_contig_007,125000,130000,46.56,0.4399,2036390,2041390
S1A_contig_007,130000,135000,46.82,0.6999,2041390,2046390
S1A_contig_007,135000,140000,47.56,1.4399,2046390,2051390
S1A_contig_007,140000,145000,45.68,-0.4401,2051390,2056390
S1A_contig_007,145000,150000,47.64,1.5199,2056390,2061390
S1A_contig_007,150000,155000,47.7,1.5799,2061390,2066390
S1A_contig_007,155000,160000,47.24,1.1199,2066390,2071390
S1A_contig_008,0,5000,47.14,1.0199,2075785,2080785
S1A_contig_008,5000,10000,46.34,0.2199,2080785,2085785
S1A_contig_008,10000,15000,47.46,1.3399,2085785,2090785
S1A_contig_008,15000,20000,47.42,1.2999,2090785,2095785
S1A_contig_008,20000,25000,45.7,-0.4201,2095785,2100785
S1A_contig_008,25000,30000,46.92,0.7999,2100785,2105785
S1A_contig_008,30000,35000,41.98,-4.1401,2105785,2110785
S1A_contig_008,35000,40000,39.18,-6.9401,2110785,2115785
S1A_contig_008,40000,45000,43.36,-2.7601,2115785,2120785
S1A_contig_008,45000,50000,48.62,2.4999,2120785,2125785
S1A_contig_008,50000,55000,47.02,0.8999,2125785,2130785
S1A_contig_008,55000,60000,47.92,1.7999,2130785,2135785
S1A_contig_008,60000,65000,46.88,0.7599,2135785,2140785
S1A_contig_008,65000,70000,45.7,-0.4201,2140785,2145785
S1A_contig_008,70000,75000,46.14,0.0199,2145785,2150785
S1A_contig_008,75000,80000,42.44,-3.6801,2150785,2155785
S1A_contig_008,80000,85000,46.62,0.4999,2155785,2160785
S1A_contig_008,85000,90000,45.64,-0.4801,2160785,2165785
S1A_contig_008,90000,95000,45.8,-0.3201,2165785,2170785
S1A_contig_008,95000,100000,43.56,-2.5601,2170785,2175785
S1A_contig_008,100000,105000,45.94,-0.1801,2175785,2180785
S1A_contig_008,105000,110000,47.38,1.2599,2180785,2185785
S1A_contig_008,110000,115000,47.68,1.5599,2185785,2190785
S1A_contig_008,115000,120000,47.94,1.8199,2190785,2195785
S1A_contig_008,120000,125000,47.54,1.4199,2195785,2200785
S1A_contig_008,125000,130000,47.42,1.2999,2200785,2205785
S1A_contig_008,130000,135000,49.56,3.4399,2205785,2210785
S1A_contig_008,135000,140000,46.7,0.5799,2210785,2215785
S1A_contig_008,140000,145000,49.66,3.5399,2215785,2220785
S1A_contig_008,145000,150000,47.3,1.1799,2220785,2225785
S1A_contig_009,0,5000,47.0,0.8799,2227030,2232030
S1A_contig_009,5000,10000,47.44,1.3199,2232030,2237030
